  PID TTY           TIME CMD
    1 ??       268:50.84 /sbin/launchd
  377 ??        83:17.28 /usr/libexec/logd
  379 ??         5:51.34 /usr/libexec/UserEventAgent (System)
  381 ??        76:20.12 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
  382 ??         9:44.32 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
  385 ??         4:02.98 /usr/sbin/systemstats --daemon
  388 ??        29:58.44 /usr/libexec/configd
  390 ??        31:18.41 /System/Library/CoreServices/powerd.bundle/powerd
  391 ??         0:06.02 /usr/libexec/IOMFB_bics_daemon
  399 ??         0:00.01 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
  401 ??         1:22.18 /usr/libexec/watchdogd
  405 ??       138:04.75 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
  407 ??         0:01.10 /usr/libexec/kernelmanagerd
  408 ??         2:52.38 /usr/libexec/diskarbitrationd
  413 ??         2:28.67 /usr/sbin/syslogd
  416 ??         5:27.14 /usr/libexec/thermalmonitord
  417 ??        96:38.52 /usr/libexec/opendirectoryd
  419 ??        12:43.38 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  420 ??        14:05.26 /System/Library/CoreServices/launchservicesd
  421 ??         2:22.41 /usr/libexec/timed
  422 ??         0:05.75 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
  423 ??        10:48.48 /usr/sbin/securityd -i
  427 ??         0:53.77 /usr/libexec/nesessionmanager
  429 ??         0:00.44 autofsd
  430 ??        50:02.63 /usr/libexec/dasd
  432 ??        11:21.29 /usr/sbin/distnoted daemon
  436 ??         0:04.25 /System/Library/CoreServices/logind
  437 ??         0:01.28 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
  438 ??         0:00.24 /usr/sbin/KernelEventAgent
  442 ??        22:44.14 /usr/sbin/notifyd
  444 ??       107:36.87 /usr/libexec/corebrightnessd --launchd
  445 ??        10:05.58 /usr/libexec/AirPlayXPCHelper
  446 ??         1:41.52 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
  451 ??        22:12.05 /usr/sbin/cfprefsd daemon
  454 ??       148:26.27 /usr/libexec/runningboardd
  455 ??        27:43.11 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
  456 ??         1:06.39 /System/Library/CoreServices/coreservicesd
  458 ??         3:37.31 /usr/libexec/lsd runAsRoot
  460 ??        28:37.43 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
  461 ??       146:34.28 /usr/libexec/airportd
  465 ??         2:58.30 /usr/libexec/apfsd
  466 ??         6:42.40 /usr/libexec/nsurlsessiond --privileged
  473 ??         2:08.40 /usr/libexec/eligibilityd
  480 ??         1:26.73 /usr/sbin/distnoted agent
  481 ??         1:29.39 /usr/sbin/distnoted agent
  487 ??         3:17.10 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  499 ??        20:40.05 /usr/libexec/syspolicyd
  501 ??        53:30.28 /usr/sbin/mDNSResponder
  503 ??        28:39.78 /usr/libexec/symptomsd
  504 ??         0:58.01 /usr/libexec/ApplicationFirewall/socketfilterfw
  507 ??         0:19.35 /System/Library/Frameworks/SystemExtensions.framework/Versions/A/Helpers/sysextd
  511 ??         1:18.73 /usr/sbin/distnoted agent
  518 ??         1:15.64 /usr/sbin/distnoted agent
  537 ??         1:15.19 /usr/sbin/distnoted agent
  544 ??         0:07.30 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
  550 ??        62:09.57 /usr/libexec/cameracaptured
  552 ??         0:04.20 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
  556 ??         0:00.45 /usr/sbin/appleh16camerad
  557 ??        30:25.18 /usr/libexec/audioclocksyncd
  559 ??         0:35.65 /usr/libexec/modelmanagerd
  560 ??       326:21.51 /System/Library/DriverExtensions/com.apple.DriverKit-AppleBCMWLAN.dext/com.apple.DriverKit-AppleBCMWLAN com.apple.bcmwlan 0x100000ed7 com.apple.DriverKit-AppleBCMWLAN
